ID,tx_hash,rule_id_1,similarity_1,rule_name_1,rule_id_2,similarity_2,rule_name_2,count
4216,0xb712a2728b6b5ab0c5bf414404998abf2771c65583c9da047eb4aa7c4ea34b2b,287,0.48,MEVa47b,24,0.4499999999999999,Uerii,155
4349,0x2eaa416c8c76176cdccae7cae95cb92baa1482e0663ff4197063ce1728a60197,306,0.4782608695652174,PeapodsFinance,96,0.4782608695652174,BarleyFinance,415
2730,0x82b72bcd49ffdb9bcd184e9cdd81f95522b1ff18a08227173d833d6fd8811161,164,0.4782608695652174,JokInTheBox,5,0.4761904761904761,SpaceGodzilla,2753
673,0xc4b322fbd4de639738664fe3cfe79cd9cf2afa8bed0ca07a7feadacc02709ffe,38,0.4761904761904761,DFS,143,0.4666666666666667,Uranium,309
198,0xa80433423b2885d99faaa13c1c309837852be78398306750db48c946579d6d92,5,0.4761904761904761,SpaceGodzilla,436,0.4210526315789473,LQDX,415
439,0x9662af00718f3b5cb5652e47d32721c8667a65178cbf2848fae6d0c88eb136ae,24,0.4761904761904761,Uerii,409,0.3103448275862068,BBT,237
3150,0x7f1fb8c4d263a8c7e6bbbbbdc4a9653dca5b3f7bf72b072a9a5cc9ce92f78ec9,204,0.4736842105263158,DeezNutz404,244,0.4444444444444444,Wdoge,508
3341,0x611e259b7883ce0c199ad147b6864820e13ccbee91192541820023cf1e414474,217,0.4736842105263158,BDEX,244,0.4444444444444444,Wdoge,395
583,0x1420c7663424e2d5ba6e2c056acde3bff1e91d49a8d55a6f0b7b5903c89aa811,32,0.4736842105263158,LW,478,0.4,Zeed,1753
7054,0x0ac8edd911da8c6c0ce79bca77f59d86ff8b0aaa1d5354de59ebc0f1c3cd5c8d,466,0.4736842105263158,Juice,130,0.4230769230769231,Binemon,817
6511,0x5f82df1f3e720319088e08d6079425703858aa2dd85de4d6ef902e191b0c9f60,436,0.4736842105263158,LQDX,494,0.4074074074074074,WSM,222
6510,0x0fadf061b5e7df6ec1cd5dc4097a3b8ee45b959466262907ee7139f6987daa17,436,0.4705882352941176,LQDX,200,0.4,FiberRouter,326
582,0x5a3758e3971144604e4d199c654193099ad911e88e633578cd471f2bee601e5c,32,0.4705882352941176,LW,515,0.4117647058823529,BNBX,400
437,0xb6cbd192eacec0ef4a4860681894ce7828ff644c5d2e4e91bd3509fa30ec9fd7,24,0.4705882352941176,Uerii,136,0.4615384615384615,RabbyWallet,11640
6003,0x8e7e261e30b7d3f2cb0f1f3412363a00fc21a69fd6bfbd2644e869160bbbc3e0,417,0.4705882352941176,DKP,38,0.4285714285714286,DFS,158
6074,0x7131103c5543538accfe67fc8d510a93dc139729f29084f0bc3eb76c71a92674,425,0.4666666666666667,FDP,395,0.4545454545454546,LPC,664
