id,encoded_trace
SellToken,"[('Common', 'test'), ('Common', 'flash'), ('Common', 'transfer'), ('Common', 'call'), ('Common', 'withdraw'), ('Common', 'receive'), ('Common', 'approve'), ('Common', 'approve'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Unique', 'price'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'deposit'), ('Common', 'transfer'), ('Common', 'flash'), ('Common', 'transfer'), ('Common', 'call'), ('Common', 'withdraw'), ('Common', 'receive'), ('Common', 'approve'), ('Common', 'approve'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Cluster', 'Unique Cluster 3'), ('Common', 'back'), ('Common', 'buy'), ('Common', 'fee'), ('Common', 'deposit'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'loop start'), ('Common', 'back'), ('Common', 'loop stop'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Cluster', 'Non-Meaningful'), ('Common', 'approve'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'back'), ('Common', 'receive'), ('Cluster', 'Non-Meaningful'), ('Common', 'deposit'), ('Common', 'transfer')]"
TIME,"[('Common', 'test'), ('Common', 'approve'), ('Common', 'approve'), ('Common', 'approve'), ('Common', 'deposit'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'exec'), ('Common', 'call'), ('Common', 'call'), ('Common', 'burn'), ('Common', 'burn'), ('Cluster', 'Common Cluster 0'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'receive')]"
GPU,"[('Common', 'test'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'call'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop'), ('Common', 'loop start'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'loop stop'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'transfer'), ('Common', 'liquid'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'mint'), ('Common', 'swap'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop')]"
OmniEstate,"[('Common', 'test'), ('Common', 'deposit'), ('Common', 'approve'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'approve'), ('Cluster', 'Common Cluster 5'), ('Cluster', 'Common Cluster 5'), ('Common', 'approve'), ('Common', 'transfer'), ('Unique', 'get'), ('Unique', 'get'), ('Unique', 'claim'), ('Unique', 'claim'), ('Common', 'transfer'), ('Common', 'mint'), ('Common', 'approve'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer')]"
ETHFIN,"[('Common', 'test'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop'), ('Common', 'flash'), ('Common', 'transfer'), ('Common', 'callback'), ('Common', 'approve'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Cluster', 'Common Cluster 11'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Cluster', 'Common Cluster 11'), ('Common', 'transfer'), ('Common', 'transfer'), ('Unique', 'buy'), ('Common', 'fee'), ('Common', 'deposit'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'transfer'), ('Cluster', 'Common Cluster 11'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop'), ('Common', 'withdraw'), ('Common', 'back')]"
SpaceGodzilla,"[('Common', 'test'), ('Unique', 'swap'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'liquid'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'mint'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer')]"
MARA,"[('Common', 'test'), ('Common', 'flash'), ('Common', 'flash'), ('Common', 'transfer'), ('Common', 'call'), ('Common', 'withdraw'), ('Common', 'back'), ('Common', 'approve'), ('Cluster', 'Non-Meaningful'), ('Cluster', 'Non-Meaningful'), ('Common', 'loop start'), ('Cluster', 'Non-Meaningful'), ('Common', 'loop stop'), ('Common', 'swap'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop')]"
OlympusDao,"[('Common', 'test'), ('Common', 'redeem'), ('Common', 'burn'), ('Common', 'transfer')]"
Fantasm,"[('Common', 'test'), ('Common', 'transfer'), ('Common', 'approve'), ('Common', 'mint'), ('Common', 'deposit'), ('Common', 'transfer'), ('Common', 'burn'), ('Common', 'transfer'), ('Cluster', 'Common Cluster 8'), ('Common', 'mint')]"
landNFT,"[('Common', 'test'), ('Common', 'mint'), ('Common', 'mint'), ('Common', 'loop start'), ('Common', 'receive'), ('Common', 'loop stop')]"
